Line,Detail,Transactions,Amount (USD)
OPENING BALANCE — 1 January 2025,Mercury's own ending balance on the statement for 01–31 December 2024,,11053.84
,,,
MONEY IN,,,
  Incoming wires,Domestic and international client and affiliate receipts,13,35757.76
  Other incoming (ACH credits),"YouTube partner payments, an affiliate ACH credit and account-verification micro-deposits",7,967.47
  Mercury IO card cashback,Cashback credited to the checking account,2,4.82
TOTAL MONEY IN,,22,36730.05
,,,
MONEY OUT,,,
  Outgoing payments,"Google Ads invoices, accountancy and platform fees",9,-15341.23
  Sent to the Mercury IO card,Autopay moving cash out of the bank to settle the credit card,2,-322.15
TOTAL MONEY OUT,"Every dollar that left the bank, card payments included",11,-15663.38
,,,
NET CHANGE FOR THE YEAR,Total money in less total money out,33,21066.67
,,,
CLOSING BALANCE — 31 December 2025,Mercury's own ending balance on the statement for 01–31 December 2025,,32120.51
,,,
PEAK BALANCE — 31 July 2025,Highest balance held at any point in 2025 — the maximum of the Daily sheet,,35157.93
,,,
Total expense incurred in 2025,Outgoing payments plus what the card itself spent — see the Reconciliation sheet,12,-15663.38
