Account,Kind,Opening 1 Apr 2025,Closing 31 Mar 2026,Change,Balance today
Mercury Checking ••6538,checking,16985.4,30420.88,13435.48,35322.1
Mercury Savings ••7355,savings,0.0,0.0,0.0,0.0
Mercury IO credit card account,credit card,0.0,0.0,0.0,0.0
,,,,,
TOTAL BANK BALANCE,,16985.4,30420.88,13435.48,35322.1
,,,,,
Cards issued,,,,,
  Wyoming_Attorney,credit · frozen,,,,
  WYOMING_Attorney,credit · cancelled,,,,
  Duana Guye,debit · cancelled,,,,
  Deboira,credit · cancelled,,,,
  (no nickname),debit · frozen,,,,
  (no nickname),debit · cancelled,,,,
