Month,Opening,Money in,Expenses,Sent to card,Total money out,Net,Closing,Statement,Check,Txns
April 2025,16985.4,12011.88,-1.08,0.0,-1.08,12010.8,28996.2,28996.2,MATCH,5
May 2025,28996.2,0.0,0.0,0.0,0.0,0.0,28996.2,28996.2,MATCH,0
June 2025,28996.2,327.0,-6.44,0.0,-6.44,320.56,29316.76,29316.76,MATCH,2
July 2025,29316.76,8481.39,-2398.97,-241.25,-2640.22,5841.17,35157.93,35157.93,MATCH,6
August 2025,35157.93,2143.18,-6600.54,0.0,-6600.54,-4457.36,30700.57,30700.57,MATCH,4
September 2025,30700.57,5908.02,-2359.96,0.0,-2359.96,3548.06,34248.63,34248.63,MATCH,5
October 2025,34248.63,141.39,-3774.6,0.0,-3774.6,-3633.21,30615.42,30615.42,MATCH,2
November 2025,30615.42,179.05,0.0,-80.9,-80.9,98.15,30713.57,30713.57,MATCH,3
December 2025,30713.57,1500.0,-93.06,0.0,-93.06,1406.94,32120.51,32120.51,MATCH,2
January 2026,32120.51,1287.0,-1211.28,-200.0,-1411.28,-124.28,31996.23,31996.23,MATCH,4
February 2026,31996.23,1285.15,-2000.93,0.0,-2000.93,-715.78,31280.45,31280.45,MATCH,4
March 2026,31280.45,0.0,-859.57,0.0,-859.57,-859.57,30420.88,30420.88,MATCH,1
FULL YEAR,16985.4,33264.06,-19306.43,-522.15,-19828.58,13435.48,30420.88,30420.88,MATCH,38
