Month,Opening,Money in,Money out,Net,Closing,Statement,Check,Peak in month,Peak date,Txns
January 2025,11053.84,2250.0,0.0,2250.0,13303.84,13303.84,MATCH,13303.84,2025-01-07,1
February 2025,13303.84,0.0,0.0,0.0,13303.84,13303.84,MATCH,13303.84,2025-02-01,0
March 2025,13303.84,3788.14,-106.58,3681.56,16985.4,16985.4,MATCH,16985.4,2025-03-26,3
April 2025,16985.4,12011.88,-1.08,12010.8,28996.2,28996.2,MATCH,28997.24,2025-04-07,5
May 2025,28996.2,0.0,0.0,0.0,28996.2,28996.2,MATCH,28996.2,2025-05-01,0
June 2025,28996.2,327.0,-6.44,320.56,29316.76,29316.76,MATCH,29323.2,2025-06-27,2
July 2025,29316.76,8481.39,-2640.22,5841.17,35157.93,35157.93,MATCH,35157.93,2025-07-31,6
August 2025,35157.93,2143.18,-6600.54,-4457.36,30700.57,30700.57,MATCH,35157.93,2025-08-01,4
September 2025,30700.57,5908.02,-2359.96,3548.06,34248.63,34248.63,MATCH,34248.63,2025-09-22,5
October 2025,34248.63,141.39,-3774.6,-3633.21,30615.42,30615.42,MATCH,34248.63,2025-10-01,2
November 2025,30615.42,179.05,-80.9,98.15,30713.57,30713.57,MATCH,30713.57,2025-11-21,3
December 2025,30713.57,1500.0,-93.06,1406.94,32120.51,32120.51,MATCH,32120.51,2025-12-31,2
FULL YEAR 2025,11053.84,36730.05,-15663.38,21066.67,32120.51,32120.51,MATCH,35157.93,2025-07-31,33
