Measure,Detail,Date,Amount (USD)
PEAK BALANCE,Highest end-of-day balance across all 365 days of 2025,31 July 2025,35157.93
,,,
Reached on,The day the balance first closed at that figure,31 July 2025,35157.93
Held until,It stayed there for 4 days; the next movement was the first debit after it,3 August 2025,35157.93
Tipped to the peak by,"CLICKSTACK LTD. — Incoming wire (international). The marginal credit that set the exact maximum, not what built it.",31 July 2025,750.0
Balance immediately before,Where the balance stood the moment before that credit landed,31 July 2025,34407.93
Next movement after the peak,Google LLC — Outgoing payment,4 August 2025,-6600.54
Balance after that movement,Where the balance sat once the peak broke,4 August 2025,28557.39
,,,
Intra-day high,"Highest point at any moment, in Mercury's own posting order — the same figure",31 July 2025,35157.93
,,,
Lowest balance of the year,Held 6 days — and it is the opening balance: no day closed below where the year began,1 January 2025 – 6 January 2025,11053.84
Average daily balance,Mean of all 365 end-of-day balances,1 Jan – 31 Dec 2025,26110.17
Opening balance,1 January 2025,1 January 2025,11053.84
Closing balance,31 December 2025,31 December 2025,32120.51
Peak above closing,How far the peak sat above where the year ended,,3037.42
Peak above opening,How far the peak sat above where the year began,,24104.09
,,,
"Days closing at or above $35,000",How many of the 365 days closed at or above that level,4 days,
"Days closing at or above $30,000",,146 days,
"Days closing at or above $25,000",,274 days,
,,,
WHICH CLOCK THIS IS ON,Every date here is UTC — the clock all 24 of Mercury's own statements reconcile on,,
  Margin at the start of the year,Hours between 1 Jan 2025 00:00 UTC and the nearest transaction either side,163.57 hours,
  Margin at the end of the year,"Hours to the nearest transaction either side — wider than any timezone, so the closing balance is the same on every clock",12.01 hours,
  Margin on the PEAK DATE,"The peak AMOUNT is the same on any clock, the DATE is not — see the Reconciliation sheet",2.03 hours,
,,,
PEAK BY MONTH,Highest end-of-day balance inside each month,,
  January 2025,,7 January 2025,13303.84
  February 2025,,1 February 2025,13303.84
  March 2025,,26 March 2025,16985.4
  April 2025,,7 April 2025,28997.24
  May 2025,,1 May 2025,28996.2
  June 2025,,27 June 2025,29323.2
  July 2025,,31 July 2025,35157.93
  August 2025,,1 August 2025,35157.93
  September 2025,,22 September 2025,34248.63
  October 2025,,1 October 2025,34248.63
  November 2025,,21 November 2025,30713.57
  December 2025,,31 December 2025,32120.51
