Posted,Merchant,Description,Type,Amount (USD)
2025-07-02,Cs* Wyomingllcattorney,CS* WYOMINGLLCATTORNEY,Spend,-179.0
2025-07-02,Cs* State of Wyoming,CS* STATE OF WYOMING,Spend,-62.25
2025-07-12,Mercury Checking ••6538,IO AUTOPAY,Payment received,241.25
2025-10-16,Namecheap,NAME-CHEAP.COM* MRTUUU,Spend,-80.9
2025-11-12,Mercury Checking ••6538,IO AUTOPAY,Payment received,80.9
2026-01-02,Namecheap,NAME-CHEAP.COM* X1CNGN,Spend,-200.0
2026-01-12,Mercury Checking ••6538,IO AUTOPAY,Payment received,200.0
2026-02-03,Microsoft,MICROSOFT*ADS-G145KLQY,Spend,-100.0
2026-02-05,Microsoft,MICROSOFT*ADS-G145KLQY,Refund / reversal,100.0
,,,,
TOTAL CARD SPEND,,,,-622.15
TOTAL REFUNDS / REVERSALS,,,,100.0
NET CARD SPEND,,,,-522.15
PAID OFF FROM THE BANK ACCOUNT,,,,522.15
CARD BALANCE OWED AT YEAR END,,,,0.0
