Line,Detail,Transactions,Amount (USD)
OPENING BALANCE — 1 April 2025,Per Mercury statement for period 01–31 Mar 2025,,16985.4
,,,
MONEY IN,,,
  Incoming wires and deposits,Client and network receipts,13,32288.62
  Other incoming (ACH credits),ACH credits Mercury files as kind 'other',8,967.62
  Mercury IO card cashback,Cashback credited to the checking account,3,7.82
TOTAL MONEY IN,,24,33264.06
,,,
MONEY OUT,,,
  Outgoing payments and wires,"Send Money payments, wires and wire fees",10,-18446.86
  Other outgoing (ACH debits),ACH debits Mercury files as kind 'other',1,-859.57
  Debit-card spend,Debit-card purchases hitting the account directly,0,0.0
  Sent to Mercury IO card (Autopay),Cash leaving the account to pay the credit card,3,-522.15
  Reversed back from card,Card payments returned to the account,0,0.0
TOTAL MONEY OUT,"Every dollar that left the bank, card payments included",14,-19828.58
    of which expenses,"Paid to suppliers, platforms and services",11,-19306.43
    of which sent to card,"Moved to the Mercury IO card, then spent from it",3,-522.15
,,,
NET CHANGE FOR THE YEAR,Total money in less total money out,38,13435.48
,,,
CLOSING BALANCE — 31 March 2026,Per Mercury statement for period 01–31 Mar 2026,,30420.88
